Cell_ID,cell_name,Patient_Old,Patient,TSSEnrichment,ReadsInTSS,ReadsInPromoter,ReadsInBlacklist,PromoterRatio,PassQC,NucleosomeRatio,nMultiFrags,nMonoFrags,nFrags,nDiFrags,BlacklistRatio,Location,ReadsInPeaks,FRIP,Clusters_type
COAD13-nofacs#COAD13_T_A1_80_80,COAD13_T_A1_80_80,COAD13-nofacs,P09,10.992,23426,24762,3461,0.160021197,1,2.156325215,0,24513,77371,52858,0.022366261,Normal,58156,0.376921681,T
COAD13-nofacs#COAD13_C_B_24_120,COAD13_C_B_24_120,COAD13-nofacs,P09,14.133,28834,30685,2888,0.198657275,1,3.009500571,0,19262,77231,57969,0.018697155,Cancer,70442,0.457403704,B
COAD13-nofacs#COAD13_T_D_9_297,COAD13_T_D_9_297,COAD13-nofacs,P09,14.272,34322,35422,3100,0.229393327,1,1.972167687,0,25977,77208,51231,0.02007564,Normal,78717,0.51057247,B
COAD13-nofacs#COAD13_T_D_53_341,COAD13_T_D_53_341,COAD13-nofacs,P09,6.682,9307,11507,4046,0.074581302,1,1.562753305,0,30102,77144,47042,0.026223686,Normal,38863,0.252455502,B
COAD13-nofacs#COAD13_T_D_32_320,COAD13_T_D_32_320,COAD13-nofacs,P09,14.433,36617,37246,3457,0.241449501,1,1.980408826,0,25879,77130,51251,0.022410217,Normal,83158,0.540001039,B
COAD13-nofacs#COAD13_T_C_58_250,COAD13_T_C_58_250,COAD13-nofacs,P09,14.112,32105,33934,2994,0.220036312,1,1.881001308,0,26765,77110,50345,0.019413824,Normal,78717,0.511375153,B
COAD13-nofacs#COAD13_T_D_27_315,COAD13_T_D_27_315,COAD13-nofacs,P09,14.823,33939,35920,3582,0.232941207,1,2.055198922,0,25236,77101,51865,0.023229271,Normal,80045,0.519779478,B
COAD13-nofacs#COAD13_T_A1_87_87,COAD13_T_A1_87_87,COAD13-nofacs,P09,15.537,35960,36924,4383,0.239741326,1,1.821012528,0,27298,77008,49710,0.028458082,Normal,74662,0.48563809,B
COAD13-nofacs#COAD13_T_A_31_31,COAD13_T_A_31_31,COAD13-nofacs,P09,14.948,35314,36227,3210,0.23530749,1,1.857598931,0,26938,76978,50040,0.020850113,Normal,81558,0.530831413,B
COAD13-nofacs#COAD13_T_C1_59_251,COAD13_T_C1_59_251,COAD13-nofacs,P09,14.685,33587,34310,2618,0.22352374,1,1.865870052,0,26780,76748,49968,0.017055819,Normal,79396,0.518000444,B
COAD13-nofacs#COAD13_T_A_78_78,COAD13_T_A_78_78,COAD13-nofacs,P09,14.743,34152,35581,3880,0.231915892,1,1.8606429,0,26816,76711,49895,0.025289724,Normal,80539,0.525732078,B
COAD13-nofacs#COAD13_T_C1_76_268,COAD13_T_C1_76_268,COAD13-nofacs,P09,14.853,31879,32680,3673,0.213288082,1,2.05158335,0,25105,76610,51505,0.023972066,Normal,75189,0.491502046,B
COAD13-nofacs#COAD13_T_D_44_332,COAD13_T_D_44_332,COAD13-nofacs,P09,13.604,32721,35055,3628,0.228851402,1,2.001371581,0,25518,76589,51071,0.023684863,Normal,82694,0.540526054,B
COAD13-nofacs#COAD13_T_C_69_261,COAD13_T_C_69_261,COAD13-nofacs,P09,15.299,36922,37947,3267,0.247864085,1,1.7474965,0,27861,76548,48687,0.021339552,Normal,84705,0.554693332,B
COAD13-nofacs#COAD13_T_C_22_214,COAD13_T_C_22_214,COAD13-nofacs,P09,11.129,17360,18829,4851,0.123047666,1,1.793187792,0,27392,76511,49119,0.031701324,Normal,44900,0.293986695,B
COAD13-nofacs#COAD13_T_D_14_302,COAD13_T_D_14_302,COAD13-nofacs,P09,14.611,35158,35865,3693,0.234387254,1,1.807220958,0,27254,76508,49254,0.024134731,Normal,80896,0.530076272,B
COAD13-nofacs#COAD13_T_C1_63_255,COAD13_T_C1_63_255,COAD13-nofacs,P09,15.403,35618,36796,3186,0.240493588,1,1.982960306,0,25646,76501,50855,0.020823257,Normal,80569,0.527532607,B
COAD13-nofacs#COAD13_T_C_47_239,COAD13_T_C_47_239,COAD13-nofacs,P09,14.772,37181,37554,4058,0.245579388,1,1.821922864,0,27095,76460,49365,0.026536751,Normal,82629,0.54174425,B
COAD13-nofacs#COAD13_T_C_44_236,COAD13_T_C_44_236,COAD13-nofacs,P09,13.886,33779,35410,3120,0.231898674,1,1.979201623,0,25627,76348,50721,0.020432755,Normal,80475,0.528335456,B
COAD13-nofacs#COAD13_T_C_84_276,COAD13_T_C_84_276,COAD13-nofacs,P09,14.123,35938,36673,3180,0.240204619,1,2.04179949,0,25096,76337,51241,0.020828694,Normal,85240,0.559787748,B
COAD13-nofacs#COAD13_T_D_5_293,COAD13_T_D_5_293,COAD13-nofacs,P09,14.552,33488,34419,3389,0.22557411,1,1.812400929,0,27127,76292,49165,0.022210717,Normal,80330,0.527556676,B
COAD13-nofacs#COAD13_T_A_12_12,COAD13_T_A_12_12,COAD13-nofacs,P09,14.677,34465,36253,3132,0.237646673,1,1.953990938,0,25821,76275,50454,0.020530973,Normal,83710,0.549429633,B
COAD13-nofacs#COAD13_T_B_91_187,COAD13_T_B_91_187,COAD13-nofacs,P09,15.615,36778,37729,3766,0.247562368,1,1.886401515,0,26400,76201,49801,0.024710962,Normal,81900,0.538617352,B
COAD13-nofacs#COAD13_C_D_4_292,COAD13_C_D_4_292,COAD13-nofacs,P09,15.049,32184,32740,3904,0.214829396,1,2.638273491,0,20944,76200,55256,0.025616798,Cancer,72127,0.474344978,B
COAD13-nofacs#COAD13_T_C_15_207,COAD13_T_C_15_207,COAD13-nofacs,P09,14.25,32260,32996,5423,0.216534761,1,1.965091843,0,25696,76191,50495,0.035588193,Normal,73503,0.48371239,B
COAD13-nofacs#COAD13_T_A1_63_63,COAD13_T_A1_63_63,COAD13-nofacs,P09,14.837,34879,35512,2957,0.233431933,1,1.780356751,0,27358,76065,48707,0.019437323,Normal,81607,0.537262828,B
COAD13-nofacs#COAD13_T_A_87_87,COAD13_T_A_87_87,COAD13-nofacs,P09,13.353,30170,31912,3390,0.209823131,1,2.091385829,0,24599,76045,51446,0.022289434,Normal,71767,0.473540784,B
COAD13-nofacs#COAD13_T_D_89_377,COAD13_T_D_89_377,COAD13-nofacs,P09,15.2,37483,38681,3620,0.254386542,1,1.919662058,0,26040,76028,49988,0.023807018,Normal,82488,0.543614077,B
COAD13-nofacs#COAD13_T_C_68_260,COAD13_T_C_68_260,COAD13-nofacs,P09,14.316,33906,35325,3614,0.232376855,1,1.897308836,0,26234,76008,49774,0.023773813,Normal,80019,0.52709272,B
COAD13-nofacs#COAD13_T_A1_71_71,COAD13_T_A1_71_71,COAD13-nofacs,P09,10.479,16146,18322,3420,0.120622005,1,3.193705135,0,18110,75948,57838,0.022515405,Normal,53532,0.353369859,Fibroblast
COAD13-nofacs#COAD13_T_A_1_1,COAD13_T_A_1_1,COAD13-nofacs,P09,16.182,35401,36398,3971,0.239741276,1,1.882513765,0,26335,75911,49576,0.02615563,Normal,79260,0.523140692,B
COAD13-nofacs#COAD13_T_C1_26_218,COAD13_T_C1_26_218,COAD13-nofacs,P09,13.25,28384,30165,5432,0.198733744,1,2.080948321,0,24633,75893,51260,0.035787227,Normal,67527,0.445663939,B
COAD13-nofacs#COAD13_C_D_61_349,COAD13_C_D_61_349,COAD13-nofacs,P09,10.935,23706,25900,2340,0.170745214,1,3.19305617,0,18088,75844,57756,0.015426402,Cancer,66709,0.440480435,Myeloid
COAD13-nofacs#COAD13_C_C_73_265,COAD13_C_C_73_265,COAD13-nofacs,P09,10.192,22977,28049,2690,0.185163914,1,2.801304893,0,19925,75741,55816,0.017757885,Cancer,78467,0.520007157,Epithelial
COAD13-nofacs#COAD13_T_C_7_199,COAD13_T_C_7_199,COAD13-nofacs,P09,15.196,36575,37259,3094,0.246070428,1,1.803377027,0,27006,75708,48702,0.020433772,Normal,83636,0.553301843,B
COAD13-nofacs#COAD13_T_D_64_352,COAD13_T_D_64_352,COAD13-nofacs,P09,9.643,17575,19210,3309,0.126875727,1,2.687661357,0,20529,75704,55175,0.021854856,Normal,50275,0.33262981,T
COAD13-nofacs#COAD13_T_A_96_96,COAD13_T_A_96_96,COAD13-nofacs,P09,14.221,30607,31562,3032,0.208486914,1,2.257013769,0,23240,75693,52453,0.020028272,Normal,75337,0.498583738,B
COAD13-nofacs#COAD13_T_D_84_372,COAD13_T_D_84_372,COAD13-nofacs,P09,14.07,33522,34724,3330,0.229513398,1,2.049913317,0,24803,75647,50844,0.022010126,Normal,79678,0.527550088,B
COAD13-nofacs#COAD13_T_A1_89_89,COAD13_T_A1_89_89,COAD13-nofacs,P09,15.24,32224,32019,3170,0.212068828,1,1.930476301,0,25761,75492,49731,0.020995602,Normal,74011,0.491388697,B
COAD13-nofacs#COAD13_T_C_31_223,COAD13_T_C_31_223,COAD13-nofacs,P09,13.61,30799,31502,4471,0.208868733,1,2.055922519,0,24677,75411,50734,0.029644216,Normal,72662,0.482701353,B
COAD13-nofacs#COAD13_T_C_36_228,COAD13_T_C_36_228,COAD13-nofacs,P09,14.278,32273,33063,2763,0.219262295,1,1.893169609,0,26060,75396,49336,0.018323253,Normal,78116,0.518932851,B
COAD13-nofacs#COAD13_T_C_76_268,COAD13_T_C_76_268,COAD13-nofacs,P09,15.233,36033,36745,3496,0.243809385,1,1.762114215,0,27282,75356,48074,0.02319656,Normal,82012,0.545017146,B
COAD13-nofacs#COAD13_C_C_45_237,COAD13_C_C_45_237,COAD13-nofacs,P09,14.359,30115,31174,4174,0.206910742,1,2.619642514,0,20812,75332,54520,0.02770403,Cancer,72184,0.480125579,B
COAD13-nofacs#COAD13_T_C1_3_195,COAD13_T_C1_3_195,COAD13-nofacs,P09,13.964,29421,30695,4015,0.203777468,1,1.858579724,0,26347,75315,48968,0.026654717,Normal,74118,0.493140295,B
